lifetime_bookings,avg_rating,cancellation_rate,is_business_traveler,dist_to_center_km,tenure_days,district_Friedrichshain-Kreuzberg,district_Lichtenberg,district_Mitte,district_Neukölln,district_Pankow,district_Spandau,district_Steglitz-Zehlendorf,district_Tempelhof-Schöneberg,verification_Partial,verification_Verified,country_BRA,country_CAN,country_FRA,country_GER,country_JPN,country_UK,country_USA
1.0305608153719155,-0.14776884056455028,1.3860137157099377,0,1.8280245382897267,-1.2724448545313711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.5364596689189514,0.1513583670559976,-1.1627727573747157,0,-1.639505889458283,1.200620776000634,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
-0.9282147899916681,0.2795557417505186,-0.9055557738524111,0,-1.4426627579853917,-1.1923572824150401,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.24264332811441383,-0.19050129879605604,-1.3030729302050637,0,0.22468232881839434,1.485269375691208,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1.0305608153719155,-0.916953088731669,1.6899974235090245,1,0.39758788205291684,1.711058434428816,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.14470454784623465,1.0487399899176373,0.6377461272814157,1,0.3285537908229656,-1.0456908852863376,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.4385208886507722,0.7068803240655838,1.5263138885402858,0,-0.7889472647574878,-1.2705150335165198,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.24705057322648208,-0.4468960481850944,-0.27420499611584576,0,-0.19722444051204607,-1.067883826957128,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8302760097234889,-0.2332337570275618,0.24022897092876327,0,0.4991639263347435,-0.05665761517502064,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
-0.340582108382593,-0.6605583393426308,-0.8354056874372373,1,1.378249957262249,-1.3901639364373035,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.5364596689189514,0.2795557417505186,-0.3911218068078023,0,0.4581304903969271,1.6753567456540661,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
